637   8.287e-02   5.316e-02   1.464e-20   1.00E+00	1.00E+00	1.00E+00
640   7.890e-02   5.234e-02   1.583e-20   1.00E+00	1.00E+00	1.00E+00
642   7.512e-02   5.152e-02   1.767e-20   1.00E+00	1.00E+00	1.00E+00
645   7.176e-02   5.073e-02   1.919e-20   1.00E+00	1.00E+00	1.00E+00
647   6.871e-02   4.995e-02   1.898e-20   1.00E+00	1.00E+00	1.00E+00
650   6.588e-02   4.918e-02   1.544e-20   1.00E+00	1.00E+00	1.00E+00
652   6.321e-02   4.843e-02   1.167e-20   1.00E+00	1.00E+00	1.00E+00
655   6.060e-02   4.771e-02   9.722e-21   1.00E+00	1.00E+00	1.00E+00
657   5.782e-02   4.695e-02   7.987e-21   1.00E+00	1.00E+00	1.00E+00
660   5.523e-02   4.623e-02   6.329e-21   1.00E+00	1.00E+00	1.00E+00
662   5.283e-02   4.555e-02   4.976e-21   1.00E+00	1.00E+00	1.00E+00
665   5.029e-02   4.487e-02   5.478e-21   1.00E+00	1.00E+00	1.00E+00
667   4.759e-02   4.420e-02   7.980e-21   1.00E+00	1.00E+00	1.00E+00
670   4.488e-02   4.354e-02   9.638e-21   1.00E+00	1.00E+00	1.00E+00
672   4.229e-02   4.289e-02   1.010e-20   1.00E+00	1.00E+00	1.00E+00
675   3.991e-02   4.225e-02   1.027e-20   1.00E+00	1.00E+00	1.00E+00
677   3.774e-02   4.163e-02   9.232e-21   1.00E+00	1.00E+00	1.00E+00
679   3.584e-02   4.102e-02   7.379e-21   1.00E+00	1.00E+00	1.00E+00
682   3.430e-02   4.042e-02   5.895e-21   1.00E+00	1.00E+00	1.00E+00
684   3.292e-02   3.983e-02   5.184e-21   1.00E+00	1.00E+00	1.00E+00
687   3.131e-02   3.924e-02   4.525e-21   1.00E+00	1.00E+00	1.00E+00
689   2.943e-02   3.867e-02   3.539e-21   1.00E+00	1.00E+00	1.00E+00
692   2.750e-02   3.811e-02   2.906e-21   1.00E+00	1.00E+00	1.00E+00
694   2.567e-02   3.756e-02   2.656e-21   1.00E+00	1.00E+00	1.00E+00
697   2.394e-02   3.702e-02   2.429e-21   1.00E+00	1.00E+00	1.00E+00
699   2.241e-02   3.649e-02   2.369e-21   1.00E+00	1.00E+00	1.00E+00
702   2.114e-02   3.597e-02   3.030e-21   1.00E+00	1.00E+00	1.00E+00
704   2.014e-02   3.546e-02   4.374e-21   1.00E+00	1.00E+00	1.00E+00
707   1.934e-02   3.496e-02   5.156e-21   1.00E+00	1.00E+00	1.00E+00
709   1.868e-02   3.446e-02   4.920e-21   1.00E+00	1.00E+00	1.00E+00
712   1.820e-02   3.398e-02   4.601e-21   1.00E+00	1.00E+00	1.00E+00
714   1.788e-02   3.350e-02   3.751e-21   1.00E+00	1.00E+00	1.00E+00
717   1.733e-02   3.303e-02   2.447e-21   1.00E+00	1.00E+00	1.00E+00
719   1.625e-02   3.257e-02   1.823e-21   1.00E+00	1.00E+00	1.00E+00
722   1.496e-02   3.212e-02   1.858e-21   1.00E+00	1.00E+00	1.00E+00
724   1.391e-02   3.167e-02   1.678e-21   1.00E+00	1.00E+00	1.00E+00
727   1.304e-02   3.124e-02   1.167e-21   1.00E+00	1.00E+00	1.00E+00
729   1.220e-02   3.081e-02   8.984e-22   1.00E+00	1.00E+00	1.00E+00
732   1.153e-02   3.038e-02   9.392e-22   1.00E+00	1.00E+00	1.00E+00
734   1.114e-02   2.997e-02   1.157e-21   1.00E+00	1.00E+00	1.00E+00
737   1.096e-02   2.956e-02   1.301e-21   1.00E+00	1.00E+00	1.00E+00
741   1.094e-02   2.897e-02   1.339e-21   1.00E+00	1.00E+00	1.00E+00
743   1.119e-02   2.857e-02   1.813e-21   1.00E+00	1.00E+00	1.00E+00
746   1.153e-02   2.819e-02   2.323e-21   1.00E+00	1.00E+00	1.00E+00
748   1.150e-02   2.781e-02   1.876e-21   1.00E+00	1.00E+00	1.00E+00
751   1.074e-02   2.744e-02   1.390e-21   1.00E+00	1.00E+00	1.00E+00
753   9.483e-03   2.707e-02   1.443e-21   1.00E+00	1.00E+00	1.00E+00
756   8.328e-03   2.671e-02   1.307e-21   1.00E+00	1.00E+00	1.00E+00
758   7.536e-03   2.636e-02   8.963e-22   1.00E+00	1.00E+00	1.00E+00
771   6.585e-03   2.468e-02   3.155e-22   1.00E+00	1.00E+00	1.00E+00
772   6.768e-03   2.452e-02   2.764e-22   1.00E+00	1.00E+00	1.00E+00
774   7.369e-03   2.420e-02   2.949e-22   1.00E+00	1.00E+00	1.00E+00
777   8.069e-03   2.389e-02   3.684e-22   1.00E+00	1.00E+00	1.00E+00
779   8.375e-03   2.358e-02   4.135e-22   1.00E+00	1.00E+00	1.00E+00
782   7.962e-03   2.328e-02   4.360e-22   1.00E+00	1.00E+00	1.00E+00
784   7.054e-03   2.298e-02   4.865e-22   1.00E+00	1.00E+00	1.00E+00
787   6.138e-03   2.269e-02   6.189e-22   1.00E+00	1.00E+00	1.00E+00
789   5.442e-03   2.240e-02   8.418e-22   1.00E+00	1.00E+00	1.00E+00
792   4.901e-03   2.212e-02   7.865e-22   1.00E+00	1.00E+00	1.00E+00
794   4.449e-03   2.184e-02   4.479e-22   1.00E+00	1.00E+00	1.00E+00
797   4.130e-03   2.157e-02   2.896e-22   1.00E+00	1.00E+00	1.00E+00
